,Код заявки,life_satage_number,data_create_begin,data_state_last,actions_count,last_action_manager,difference_day
69,6693,010,20.01.2017 12:22:36,20.01.2017 09:22:36,1,2017-01-20 09:22:36,0
70,6693,020,20.01.2017 12:22:36,20.01.2017 09:23:59,1,2017-01-20 09:23:59,0
71,6693,040,20.01.2017 12:22:36,27.06.2017 14:01:44,24,2017-06-27 14:01:44,158
72,6693,050,20.01.2017 12:22:36,05.07.2017 09:03:33,21,2017-07-05 09:03:33,166
73,6693,060,20.01.2017 12:22:36,16.05.2018 09:41:49,5,2018-05-16 09:41:49,116
74,6694,010,23.01.2017 10:52:09,23.01.2017 07:52:09,1,2017-01-23 07:52:09,0
75,6694,020,23.01.2017 10:52:09,27.01.2017 14:31:59,2,2017-01-27 14:31:59,4
76,6694,040,23.01.2017 10:52:09,24.04.2017 11:47:28,8,2017-04-24 11:47:28,91
77,6694,050,23.01.2017 10:52:09,20.03.2017 09:56:14,13,2017-03-20 09:56:14,56
78,6694,080,23.01.2017 10:52:09,01.08.2017 07:45:30,21,2017-08-01 07:45:30,190
79,6695,010,23.01.2017 12:08:01,23.01.2017 09:08:01,1,2017-01-23 09:08:01,0
80,6695,060,23.01.2017 12:08:01,23.01.2017 14:19:10,1,2017-01-23 14:19:10,0
81,6696,010,23.01.2017 13:55:15,23.01.2017 10:55:15,1,2017-01-23 10:55:15,0
82,6696,060,23.01.2017 13:55:15,23.01.2017 11:58:55,1,2017-01-23 11:58:55,0
83,6697,010,23.01.2017 13:57:32,23.01.2017 10:57:32,1,2017-01-23 10:57:32,0
84,6697,060,23.01.2017 13:57:32,23.01.2017 12:01:04,1,2017-01-23 12:01:04,0
85,6698,010,24.01.2017 11:07:44,24.01.2017 08:07:44,1,2017-01-24 08:07:44,0
86,6698,060,24.01.2017 11:07:44,25.01.2017 14:01:09,1,2017-01-25 14:01:09,1
87,6699,010,25.01.2017 11:27:24,25.01.2017 08:27:24,1,2017-01-25 08:27:24,0
88,6699,060,25.01.2017 11:27:24,25.01.2017 14:00:07,1,2017-01-25 14:00:07,0
89,6700,010,25.01.2017 13:24:40,25.01.2017 10:24:40,1,2017-01-25 10:24:40,0
90,6700,020,25.01.2017 13:24:40,28.01.2017 11:07:12,2,2017-01-28 11:07:12,3
91,6700,060,25.01.2017 13:24:40,08.02.2017 09:06:26,1,2017-02-08 09:06:26,14
92,6701,010,26.01.2017 10:01:06,26.01.2017 07:01:06,1,2017-01-26 07:01:06,0
93,6701,040,26.01.2017 10:01:06,27.01.2017 13:12:36,2,2017-01-27 13:12:36,1
94,6701,050,26.01.2017 10:01:06,31.07.2017 08:39:22,34,2017-07-31 08:39:22,186
95,6701,060,26.01.2017 10:01:06,28.09.2017 08:00:31,1,2017-09-28 08:00:31,245
96,6702,010,27.01.2017 10:45:31,27.01.2017 07:45:31,1,2017-01-27 07:45:31,0
97,6702,060,27.01.2017 10:45:31,30.01.2017 06:26:55,1,2017-01-30 06:26:55,3
98,6703,010,27.01.2017 10:59:13,27.01.2017 07:59:13,1,2017-01-27 07:59:13,0
99,6703,060,27.01.2017 10:59:13,28.01.2017 08:30:07,1,2017-01-28 08:30:07,1
100,6704,010,27.01.2017 11:50:46,27.01.2017 08:50:46,1,2017-01-27 08:50:46,0
101,6704,060,27.01.2017 11:50:46,02.02.2017 13:15:09,1,2017-02-02 13:15:09,6
102,6705,010,27.01.2017 12:00:55,27.01.2017 09:00:55,1,2017-01-27 09:00:55,0
103,6705,020,27.01.2017 12:00:55,27.03.2017 16:25:27,4,2017-03-27 16:25:27,59
104,6705,040,27.01.2017 12:00:55,30.01.2017 13:16:12,7,2017-01-30 13:16:12,3
105,6705,050,27.01.2017 12:00:55,06.04.2017 12:05:23,8,2017-04-06 12:05:23,69
106,6705,060,27.01.2017 12:00:55,30.05.2017 16:02:07,1,2017-05-30 16:02:07,123
107,6706,010,27.01.2017 12:38:01,27.01.2017 09:38:01,1,2017-01-27 09:38:01,0
108,6706,060,27.01.2017 12:38:01,27.01.2017 10:48:16,1,2017-01-27 10:48:16,0
109,6707,010,27.01.2017 16:06:34,27.01.2017 13:06:34,1,2017-01-27 13:06:34,0
110,6707,060,27.01.2017 16:06:34,31.01.2017 20:20:10,1,2017-01-31 20:20:10,4
111,6708,010,27.01.2017 16:15:30,27.01.2017 13:15:30,1,2017-01-27 13:15:30,0
112,6708,060,27.01.2017 16:15:30,28.01.2017 08:37:31,1,2017-01-28 08:37:31,1
113,6709,010,27.01.2017 16:21:28,27.01.2017 13:21:28,1,2017-01-27 13:21:28,0
114,6709,060,27.01.2017 16:21:28,30.01.2017 06:27:39,1,2017-01-30 06:27:39,3
115,6710,010,27.01.2017 16:26:13,27.01.2017 13:26:13,1,2017-01-27 13:26:13,0
116,6710,060,27.01.2017 16:26:13,30.01.2017 06:57:25,1,2017-01-30 06:57:25,3
117,6711,010,30.01.2017 10:31:38,30.01.2017 07:31:38,1,2017-01-30 07:31:38,0
118,6711,020,30.01.2017 10:31:38,13.03.2017 13:07:07,2,2017-03-13 13:07:07,42
119,6711,040,30.01.2017 10:31:38,21.03.2017 09:57:22,16,2017-03-21 09:57:22,50
120,6711,050,30.01.2017 10:31:38,07.03.2017 11:27:18,2,2017-03-07 11:27:18,36
121,6711,060,30.01.2017 10:31:38,24.03.2017 12:03:14,1,2017-03-24 12:03:14,53
122,6712,010,30.01.2017 10:44:21,30.01.2017 07:44:21,1,2017-01-30 07:44:21,0
123,6712,020,30.01.2017 10:44:21,02.02.2017 11:22:59,1,2017-02-02 11:22:59,3
124,6712,060,30.01.2017 10:44:21,06.02.2017 16:32:01,1,2017-02-06 16:32:01,7
125,6713,010,30.01.2017 10:56:49,30.01.2017 07:56:49,1,2017-01-30 07:56:49,0
126,6713,020,30.01.2017 10:56:49,03.02.2017 12:26:45,3,2017-02-03 12:26:45,4
127,6713,040,30.01.2017 10:56:49,07.02.2017 13:40:24,1,2017-02-07 13:40:24,8
128,6713,050,30.01.2017 10:56:49,07.03.2017 13:53:51,8,2017-03-07 13:53:51,36
129,6713,060,30.01.2017 10:56:49,15.03.2017 10:09:53,1,2017-03-15 10:09:53,44
130,6714,010,30.01.2017 16:11:51,30.01.2017 13:11:51,1,2017-01-30 13:11:51,0
131,6714,020,30.01.2017 16:11:51,16.05.2017 08:43:12,4,2017-05-16 08:43:12,106
132,6714,040,30.01.2017 16:11:51,01.02.2017 15:18:10,6,2017-02-01 15:18:10,2
133,6714,050,30.01.2017 16:11:51,13.03.2017 10:43:43,9,2017-03-13 10:43:43,42
134,6714,060,30.01.2017 16:11:51,08.06.2017 08:45:40,1,2017-06-08 08:45:40,129
135,6715,010,31.01.2017 10:10:39,31.01.2017 07:10:39,1,2017-01-31 07:10:39,0
136,6715,040,31.01.2017 10:10:39,17.02.2017 10:59:24,5,2017-02-17 10:59:24,17
137,6715,050,31.01.2017 10:10:39,26.06.2017 12:48:23,18,2017-06-26 12:48:23,146
138,6715,060,31.01.2017 10:10:39,06.07.2017 10:08:56,1,2017-07-06 10:08:56,156
139,6716,010,31.01.2017 12:31:06,31.01.2017 09:31:06,1,2017-01-31 09:31:06,0
140,6716,040,31.01.2017 12:31:06,03.02.2017 11:58:08,4,2017-02-03 11:58:08,3
141,6716,080,31.01.2017 12:31:06,20.02.2017 06:47:08,1,2017-02-20 06:47:08,20
142,6717,010,31.01.2017 13:02:40,31.01.2017 10:02:40,1,2017-01-31 10:02:40,0
143,6717,020,31.01.2017 13:02:40,31.01.2017 10:06:11,1,2017-01-31 10:06:11,0
144,6717,040,31.01.2017 13:02:40,23.03.2017 12:40:41,10,2017-03-23 12:40:41,51
145,6717,050,31.01.2017 13:02:40,26.04.2017 13:57:57,7,2017-04-26 13:57:57,85
146,6717,060,31.01.2017 13:02:40,18.09.2017 13:26:03,21,2017-09-18 13:26:03,230
147,6718,010,31.01.2017 13:46:35,31.01.2017 10:46:35,1,2017-01-31 10:46:35,0
148,6718,020,31.01.2017 13:46:35,31.01.2017 10:47:07,1,2017-01-31 10:47:07,0
149,6718,040,31.01.2017 13:46:35,06.02.2017 14:08:49,3,2017-02-06 14:08:49,6
150,6718,060,31.01.2017 13:46:35,10.02.2017 12:29:57,1,2017-02-10 12:29:57,10
151,6719,010,31.01.2017 14:12:05,31.01.2017 11:12:05,1,2017-01-31 11:12:05,0
152,6719,020,31.01.2017 14:12:05,03.02.2017 07:25:16,1,2017-02-03 07:25:16,3
153,6719,060,31.01.2017 14:12:05,10.02.2017 07:00:40,1,2017-02-10 07:00:40,10
154,6720,010,31.01.2017 14:13:23,31.01.2017 11:13:23,1,2017-01-31 11:13:23,0
155,6720,020,31.01.2017 14:13:23,22.01.2018 09:08:10,1,2018-01-22 09:08:10,-9
156,6720,040,31.01.2017 14:13:23,02.04.2018 13:51:16,5,2018-04-02 13:51:16,61
157,6720,050,31.01.2017 14:13:23,15.05.2018 13:34:41,73,2018-05-15 13:34:41,104
158,6720,060,31.01.2017 14:13:23,13.07.2018 05:59:52,1,2018-07-13 05:59:52,163
159,6721,010,31.01.2017 14:57:23,31.01.2017 11:57:23,1,2017-01-31 11:57:23,0
160,6721,020,31.01.2017 14:57:23,31.01.2017 12:22:39,2,2017-01-31 12:22:39,0
161,6721,060,31.01.2017 14:57:23,13.02.2017 16:50:51,1,2017-02-13 16:50:51,13
162,6722,010,01.02.2017 15:00:45,01.02.2017 12:00:45,1,2017-02-01 12:00:45,0
163,6722,020,01.02.2017 15:00:45,05.04.2017 14:48:30,7,2017-04-05 14:48:30,63
164,6722,040,01.02.2017 15:00:45,22.02.2017 07:31:30,6,2017-02-22 07:31:30,21
165,6722,050,01.02.2017 15:00:45,21.11.2017 09:59:22,34,2017-11-21 09:59:22,293
166,6722,060,01.02.2017 15:00:45,15.01.2018 11:54:38,1,2018-01-15 11:54:38,-17
167,6723,010,02.02.2017 13:17:07,02.02.2017 10:17:07,1,2017-02-02 10:17:07,0
168,6723,060,02.02.2017 13:17:07,03.02.2017 13:22:36,1,2017-02-03 13:22:36,1
169,6724,010,02.02.2017 15:02:56,02.02.2017 12:02:56,1,2017-02-02 12:02:56,0
170,6724,020,02.02.2017 15:02:56,15.02.2017 22:12:50,15,2017-02-15 22:12:50,13
171,6724,040,02.02.2017 15:02:56,02.02.2017 12:26:25,1,2017-02-02 12:26:25,0
172,6724,060,02.02.2017 15:02:56,12.05.2017 11:09:58,1,2017-05-12 11:09:58,99
173,6725,010,02.02.2017 15:22:03,02.02.2017 12:22:03,1,2017-02-02 12:22:03,0
174,6725,020,02.02.2017 15:22:03,06.02.2017 16:27:28,1,2017-02-06 16:27:28,4
175,6725,040,02.02.2017 15:22:03,06.02.2017 16:27:47,1,2017-02-06 16:27:47,4
176,6725,060,02.02.2017 15:22:03,13.02.2017 17:02:03,1,2017-02-13 17:02:03,11
177,6726,010,03.02.2017 10:46:43,03.02.2017 07:46:43,1,2017-02-03 07:46:43,0
178,6726,060,03.02.2017 10:46:43,06.02.2017 11:42:06,1,2017-02-06 11:42:06,3
179,6727,010,03.02.2017 10:50:22,03.02.2017 07:50:22,1,2017-02-03 07:50:22,0
180,6727,020,03.02.2017 10:50:22,10.02.2017 08:59:21,4,2017-02-10 08:59:21,7
181,6727,060,03.02.2017 10:50:22,15.02.2017 08:03:41,1,2017-02-15 08:03:41,12
182,6728,010,03.02.2017 11:39:17,03.02.2017 08:39:17,1,2017-02-03 08:39:17,0
183,6728,020,03.02.2017 11:39:17,03.02.2017 09:48:41,1,2017-02-03 09:48:41,0
184,6728,040,03.02.2017 11:39:17,02.03.2017 12:34:45,7,2017-03-02 12:34:45,27
185,6728,050,03.02.2017 11:39:17,18.05.2017 12:54:31,11,2017-05-18 12:54:31,104
186,6728,060,03.02.2017 11:39:17,23.05.2017 14:58:55,1,2017-05-23 14:58:55,109
187,6729,010,03.02.2017 14:47:28,03.02.2017 11:47:28,1,2017-02-03 11:47:28,0
188,6729,020,03.02.2017 14:47:28,08.02.2017 06:19:22,1,2017-02-08 06:19:22,5
189,6729,060,03.02.2017 14:47:28,08.02.2017 06:27:32,1,2017-02-08 06:27:32,5
190,6730,010,03.02.2017 15:35:37,03.02.2017 12:35:37,1,2017-02-03 12:35:37,0
191,6730,040,03.02.2017 15:35:37,07.02.2017 14:54:59,2,2017-02-07 14:54:59,4
192,6730,050,03.02.2017 15:35:37,14.03.2017 10:56:21,6,2017-03-14 10:56:21,39
193,6730,060,03.02.2017 15:35:37,20.03.2017 09:50:56,1,2017-03-20 09:50:56,45
194,6731,010,03.02.2017 16:23:59,03.02.2017 13:23:59,1,2017-02-03 13:23:59,0
195,6731,020,03.02.2017 16:23:59,13.03.2017 12:36:52,2,2017-03-13 12:36:52,38
196,6731,040,03.02.2017 16:23:59,17.02.2017 11:10:29,3,2017-02-17 11:10:29,14
197,6731,050,03.02.2017 16:23:59,10.03.2017 14:28:56,3,2017-03-10 14:28:56,35
198,6731,060,03.02.2017 16:23:59,21.03.2017 11:03:48,1,2017-03-21 11:03:48,46
199,6732,010,03.02.2017 16:35:35,03.02.2017 13:35:35,1,2017-02-03 13:35:35,0
200,6732,020,03.02.2017 16:35:35,06.02.2017 13:36:36,1,2017-02-06 13:36:36,3
201,6732,040,03.02.2017 16:35:35,29.12.2017 07:45:00,8,2017-12-29 07:45:00,329
202,6732,050,03.02.2017 16:35:35,15.02.2017 08:02:02,2,2017-02-15 08:02:02,12
203,6732,060,03.02.2017 16:35:35,09.01.2018 07:38:11,43,2018-01-09 07:38:11,-25
204,6733,010,06.02.2017 11:12:47,06.02.2017 08:12:47,1,2017-02-06 08:12:47,0
205,6733,020,06.02.2017 11:12:47,14.02.2017 11:41:34,7,2017-02-14 11:41:34,8
206,6733,060,06.02.2017 11:12:47,28.03.2017 07:45:01,1,2017-03-28 07:45:01,50
207,6734,010,06.02.2017 11:27:55,06.02.2017 08:27:55,1,2017-02-06 08:27:55,0
208,6734,020,06.02.2017 11:27:55,07.02.2017 11:19:45,1,2017-02-07 11:19:45,1
209,6734,040,06.02.2017 11:27:55,21.08.2017 08:45:43,29,2017-08-21 08:45:43,196
210,6734,050,06.02.2017 11:27:55,21.07.2017 13:53:17,15,2017-07-21 13:53:17,165
211,6734,080,06.02.2017 11:27:55,22.08.2017 06:22:11,1,2017-08-22 06:22:11,197
212,6735,010,06.02.2017 19:02:19,06.02.2017 16:02:19,1,2017-02-06 16:02:19,0
213,6735,020,06.02.2017 19:02:19,06.02.2017 16:44:57,1,2017-02-06 16:44:57,0
214,6735,060,06.02.2017 19:02:19,17.02.2017 11:06:53,1,2017-02-17 11:06:53,11
215,6736,010,08.02.2017 11:45:28,08.02.2017 08:45:28,1,2017-02-08 08:45:28,0
216,6736,060,08.02.2017 11:45:28,08.02.2017 11:42:04,1,2017-02-08 11:42:04,0
217,6737,010,08.02.2017 12:06:37,08.02.2017 09:06:37,1,2017-02-08 09:06:37,0
218,6737,060,08.02.2017 12:06:37,09.02.2017 09:46:17,1,2017-02-09 09:46:17,1
219,6738,010,08.02.2017 12:28:00,08.02.2017 09:28:00,1,2017-02-08 09:28:00,0
220,6738,060,08.02.2017 12:28:00,09.02.2017 09:45:51,1,2017-02-09 09:45:51,1
221,6739,010,08.02.2017 17:05:09,08.02.2017 14:05:09,1,2017-02-08 14:05:09,0
222,6739,020,08.02.2017 17:05:09,09.02.2017 09:44:17,1,2017-02-09 09:44:17,1
223,6739,040,08.02.2017 17:05:09,13.03.2017 13:33:43,5,2017-03-13 13:33:43,33
224,6739,050,08.02.2017 17:05:09,06.03.2017 08:55:57,4,2017-03-06 08:55:57,26
225,6739,080,08.02.2017 17:05:09,24.03.2017 14:01:17,1,2017-03-24 14:01:17,44
226,6740,010,08.02.2017 18:00:14,08.02.2017 15:00:14,1,2017-02-08 15:00:14,0
227,6740,020,08.02.2017 18:00:14,09.02.2017 09:59:21,1,2017-02-09 09:59:21,1
228,6740,060,08.02.2017 18:00:14,10.02.2017 13:43:08,1,2017-02-10 13:43:08,2
229,6741,010,09.02.2017 13:28:05,09.02.2017 10:28:05,1,2017-02-09 10:28:05,0
230,6741,060,09.02.2017 13:28:05,09.02.2017 13:21:38,1,2017-02-09 13:21:38,0
231,6742,010,09.02.2017 13:46:15,09.02.2017 10:46:15,1,2017-02-09 10:46:15,0
232,6742,060,09.02.2017 13:46:15,13.02.2017 09:55:34,1,2017-02-13 09:55:34,4
233,6743,010,09.02.2017 14:41:28,09.02.2017 11:41:28,1,2017-02-09 11:41:28,0
234,6743,020,09.02.2017 14:41:28,10.02.2017 14:39:39,1,2017-02-10 14:39:39,1
235,6743,060,09.02.2017 14:41:28,13.02.2017 09:31:03,1,2017-02-13 09:31:03,4
236,6744,010,09.02.2017 14:44:43,09.02.2017 11:44:43,1,2017-02-09 11:44:43,0
237,6744,020,09.02.2017 14:44:43,09.02.2017 12:34:06,1,2017-02-09 12:34:06,0
238,6744,040,09.02.2017 14:44:43,21.02.2017 14:20:17,4,2017-02-21 14:20:17,12
239,6744,060,09.02.2017 14:44:43,15.03.2017 13:32:30,1,2017-03-15 13:32:30,34
240,6745,010,10.02.2017 10:27:08,10.02.2017 07:27:08,1,2017-02-10 07:27:08,0
241,6745,020,10.02.2017 10:27:08,10.02.2017 07:32:06,1,2017-02-10 07:32:06,0
242,6745,040,10.02.2017 10:27:08,10.02.2017 09:13:19,1,2017-02-10 09:13:19,0
243,6745,050,10.02.2017 10:27:08,16.02.2017 06:37:31,10,2017-02-16 06:37:31,6
244,6745,060,10.02.2017 10:27:08,27.04.2017 13:32:45,1,2017-04-27 13:32:45,76
245,6746,010,10.02.2017 14:14:32,10.02.2017 11:14:32,1,2017-02-10 11:14:32,0
246,6746,020,10.02.2017 14:14:32,10.02.2017 11:26:10,1,2017-02-10 11:26:10,0
247,6746,040,10.02.2017 14:14:32,06.04.2017 10:17:53,14,2017-04-06 10:17:53,55
248,6746,060,10.02.2017 14:14:32,11.05.2017 10:43:19,1,2017-05-11 10:43:19,90
249,6747,010,10.02.2017 17:25:41,10.02.2017 14:25:41,3,2017-02-10 14:25:41,0
250,6747,060,10.02.2017 17:25:41,03.03.2017 11:09:58,1,2017-03-03 11:09:58,21
251,6748,010,13.02.2017 10:30:22,13.02.2017 07:30:22,1,2017-02-13 07:30:22,0
252,6748,020,13.02.2017 10:30:22,15.02.2017 11:25:26,2,2017-02-15 11:25:26,2
253,6748,040,13.02.2017 10:30:22,28.02.2017 06:31:23,5,2017-02-28 06:31:23,15
254,6748,050,13.02.2017 10:30:22,19.07.2017 14:34:57,39,2017-07-19 14:34:57,156
255,6748,060,13.02.2017 10:30:22,06.12.2017 13:26:18,1,2017-12-06 13:26:18,296
256,6749,010,13.02.2017 11:29:03,13.02.2017 08:29:03,1,2017-02-13 08:29:03,0
257,6749,020,13.02.2017 11:29:03,15.02.2017 12:20:26,4,2017-02-15 12:20:26,2
258,6749,060,13.02.2017 11:29:03,13.03.2017 12:43:52,1,2017-03-13 12:43:52,28
259,6750,010,15.02.2017 11:50:29,15.02.2017 08:50:29,1,2017-02-15 08:50:29,0
260,6750,020,15.02.2017 11:50:29,05.04.2017 11:14:16,1,2017-04-05 11:14:16,49
261,6750,040,15.02.2017 11:50:29,02.06.2017 07:27:24,16,2017-06-02 07:27:24,107
262,6750,050,15.02.2017 11:50:29,23.06.2017 07:46:20,19,2017-06-23 07:46:20,128
263,6750,060,15.02.2017 11:50:29,24.07.2017 07:12:18,1,2017-07-24 07:12:18,159
264,6751,010,15.02.2017 12:32:36,15.02.2017 09:32:36,1,2017-02-15 09:32:36,0
265,6751,020,15.02.2017 12:32:36,15.02.2017 10:04:14,1,2017-02-15 10:04:14,0
266,6751,040,15.02.2017 12:32:36,27.02.2017 06:59:46,6,2017-02-27 06:59:46,12
267,6751,050,15.02.2017 12:32:36,23.05.2017 13:54:08,13,2017-05-23 13:54:08,97
268,6751,060,15.02.2017 12:32:36,14.06.2017 14:11:38,1,2017-06-14 14:11:38,119
269,6752,010,17.02.2017 11:03:39,17.02.2017 08:03:39,1,2017-02-17 08:03:39,0
270,6752,020,17.02.2017 11:03:39,17.02.2017 08:30:00,1,2017-02-17 08:30:00,0
271,6752,060,17.02.2017 11:03:39,17.02.2017 14:26:22,1,2017-02-17 14:26:22,0
272,6753,010,20.02.2017 16:15:31,20.02.2017 13:15:31,1,2017-02-20 13:15:31,0
273,6753,060,20.02.2017 16:15:31,22.02.2017 11:13:52,1,2017-02-22 11:13:52,2
274,6754,010,20.02.2017 16:20:33,20.02.2017 13:20:33,1,2017-02-20 13:20:33,0
275,6754,020,20.02.2017 16:20:33,03.03.2017 07:59:32,2,2017-03-03 07:59:32,11
276,6754,040,20.02.2017 16:20:33,27.02.2017 12:42:48,1,2017-02-27 12:42:48,7
277,6754,060,20.02.2017 16:20:33,14.03.2017 09:13:03,1,2017-03-14 09:13:03,22
